날짜,종가,오픈,고가,저가,거래량,변동 %
2021년 12월 31일,73.19,73.19,73.19,73.19,-,-0.01%
2021년 12월 30일,73.2,73.2,73.2,73.2,-,-0.01%
2021년 12월 29일,73.21,73.21,73.21,73.21,-,0.06%
2021년 12월 28일,73.16,73.16,73.16,73.16,-,-0.05%
2021년 12월 27일,73.2,73.2,73.2,73.2,-,0.29%
2021년 12월 23일,72.99,72.99,72.99,72.99,-,0.39%
2021년 12월 22일,72.71,72.71,72.71,72.71,-,0.39%
2021년 12월 21일,72.42,72.42,72.42,72.42,-,1.07%
2021년 12월 20일,71.65,71.66,71.66,71.66,-,-1.07%
2021년 12월 17일,72.43,72.43,72.43,72.43,-,-0.81%
2021년 12월 16일,73.02,73.02,73.02,73.02,-,0.88%
2021년 12월 15일,72.38,72.38,72.38,72.38,-,0.22%
2021년 12월 14일,72.22,72.22,72.22,72.22,-,-0.67%
2021년 12월 13일,72.71,72.71,72.71,72.71,-,-0.66%
2021년 12월 10일,73.19,73.19,73.19,73.19,-,0.65%
2021년 12월 9일,72.72,72.72,72.72,72.72,-,-1.32%
2021년 12월 8일,73.69,73.69,73.69,73.69,-,0.21%
2021년 12월 7일,73.54,73.54,73.54,73.54,-,2.64%
2021년 12월 6일,71.65,71.65,71.65,71.65,-,3.98%
2021년 12월 3일,68.91,68.91,68.91,68.91,-,0.43%
2021년 12월 2일,68.62,68.62,68.62,68.62,-,1.30%
2021년 12월 1일,67.73,67.73,67.73,67.73,-,-15.62%
2021년 11월 30일,80.28,80.28,80.28,80.28,-,-0.04%
2021년 11월 29일,80.31,80.31,80.31,80.31,-,0.28%
2021년 11월 26일,80.08,80.08,80.08,80.08,-,-1.38%
2021년 11월 24일,81.2,81.2,81.2,81.2,-,-0.02%
2021년 11월 23일,81.22,81.22,81.22,81.22,-,0.83%
2021년 11월 22일,80.55,80.55,80.55,80.55,-,0.27%
2021년 11월 19일,80.33,80.33,80.33,80.33,-,-0.96%
2021년 11월 18일,81.11,81.11,81.11,81.11,-,0.43%
2021년 11월 17일,80.76,80.76,80.76,80.76,-,-1.11%
2021년 11월 16일,81.67,81.67,81.67,81.67,-,0.32%
2021년 11월 15일,81.41,81.41,81.41,81.41,-,-0.09%
2021년 11월 12일,81.48,81.48,81.48,81.48,-,-0.23%
2021년 11월 11일,81.67,81.67,81.67,81.67,-,0.49%
2021년 11월 10일,81.27,81.27,81.27,81.27,-,-1.59%
2021년 11월 9일,82.58,82.58,82.58,82.58,-,1.18%
2021년 11월 8일,81.62,81.62,81.62,81.62,-,0.84%
2021년 11월 5일,80.94,80.94,80.94,80.94,-,2.52%
2021년 11월 4일,78.95,78.95,78.95,78.95,-,-1.51%
2021년 11월 3일,80.16,80.16,80.16,80.16,-,-2.88%
2021년 11월 2일,82.54,82.54,82.54,82.54,-,0.18%
2021년 11월 1일,82.38,82.38,82.38,82.38,-,0.98%
2021년 10월 29일,81.58,81.58,81.58,81.58,-,0.04%
2021년 10월 28일,81.55,81.55,81.55,81.55,-,-0.06%
2021년 10월 27일,81.6,81.6,81.6,81.6,-,-0.27%
2021년 10월 26일,81.82,81.82,81.82,81.82,-,0.11%
2021년 10월 25일,81.73,81.73,81.73,81.73,-,0.14%
2021년 10월 22일,81.61,81.61,81.61,81.61,-,0.22%
2021년 10월 21일,81.44,81.44,81.44,81.44,-,-0.46%
2021년 10월 20일,81.81,81.81,81.81,81.81,-,0.24%
2021년 10월 19일,81.61,81.61,81.61,81.61,-,0.37%
2021년 10월 18일,81.31,81.31,81.31,81.31,-,-0.24%
2021년 10월 15일,81.51,81.51,81.51,81.51,-,0.69%
2021년 10월 14일,80.95,80.95,80.95,80.95,-,0.63%
2021년 10월 13일,80.45,80.45,80.45,80.45,-,-0.17%
2021년 10월 12일,80.58,80.58,80.58,80.58,-,-0.12%
2021년 10월 11일,80.68,80.68,80.68,80.68,-,1.15%
2021년 10월 8일,79.76,79.76,79.76,79.76,-,0.39%
2021년 10월 7일,79.45,79.45,79.45,79.45,-,0.96%
2021년 10월 6일,78.69,78.69,78.69,78.69,-,-1.28%
2021년 10월 5일,79.71,79.71,79.71,79.71,-,1.51%
2021년 10월 4일,78.52,78.52,78.52,78.52,-,2.29%
2021년 10월 1일,76.77,76.77,76.77,76.77,-,5.73%
2021년 9월 30일,72.61,72.61,72.61,72.61,-,0.05%
2021년 9월 29일,72.57,72.57,72.57,72.57,-,-0.08%
2021년 9월 28일,72.63,72.63,72.63,72.63,-,0.02%
