날짜,종가,오픈,고가,저가,거래량,변동 %
2020년 9월 23일,41.49,41.49,41.49,41.49,-,-0.02%
2020년 9월 22일,41.5,41.5,41.5,41.5,-,0.21%
2020년 9월 21일,41.41,41.41,41.41,41.41,-,-1.43%
2020년 9월 18일,42.01,42.01,42.01,42.01,-,-0.02%
2020년 9월 17일,42.02,42.02,42.02,42.02,-,1.06%
2020년 9월 16일,41.58,41.58,41.58,41.58,-,2.18%
2020년 9월 15일,40.69,40.69,40.69,40.69,-,1.34%
2020년 9월 14일,40.15,40.15,40.15,40.15,-,-0.23%
2020년 9월 11일,40.24,40.24,40.24,40.24,-,-0.01%
2020년 9월 10일,40.25,40.25,40.25,40.25,-,-1.29%
2020년 9월 9일,40.78,40.78,40.78,40.78,-,1.44%
2020년 9월 8일,40.2,40.2,40.2,40.2,-,-5.67%
2020년 9월 4일,42.61,42.61,42.61,42.61,-,-2.29%
2020년 9월 3일,43.61,43.61,43.61,43.61,-,-0.50%
2020년 9월 2일,43.83,43.83,43.83,43.83,-,-2.27%
2020년 9월 1일,44.85,44.85,44.85,44.85,-,1.95%
2020년 8월 31일,43.99,43.99,43.99,43.99,-,0.10%
2020년 8월 28일,43.94,43.94,43.94,43.94,-,-0.05%
2020년 8월 27일,43.96,43.96,43.96,43.96,-,0.00%
2020년 8월 26일,43.96,43.96,43.96,43.96,-,-0.09%
2020년 8월 25일,44,44,44,44,-,0.20%
2020년 8월 24일,43.91,43.91,43.91,43.91,-,0.50%
2020년 8월 21일,43.69,43.69,43.69,43.69,-,-0.21%
2020년 8월 20일,43.78,43.78,43.78,43.78,-,-0.39%
2020년 8월 19일,43.96,43.96,43.96,43.96,-,-0.01%
2020년 8월 18일,43.96,43.96,43.96,43.96,-,0.42%
2020년 8월 17일,43.78,43.78,43.78,43.78,-,0.89%
2020년 8월 14일,43.39,43.39,43.39,43.39,-,-0.45%
2020년 8월 13일,43.59,43.59,43.59,43.59,-,-0.87%
2020년 8월 12일,43.97,43.97,43.97,43.97,-,1.36%
2020년 8월 11일,43.38,43.38,43.38,43.38,-,-0.92%
2020년 8월 10일,43.78,43.78,43.78,43.78,-,1.03%
2020년 8월 7일,43.33,43.33,43.33,43.33,-,-0.64%
2020년 8월 6일,43.61,43.61,43.61,43.61,-,-0.60%
2020년 8월 5일,43.88,43.88,43.88,43.88,-,1.11%
2020년 8월 4일,43.4,43.4,43.4,43.4,-,0.02%
2020년 8월 3일,43.39,43.39,43.39,43.39,-,1.98%
2020년 7월 31일,42.54,42.54,42.54,42.54,-,-1.70%
2020년 7월 30일,43.28,43.28,43.28,43.28,-,-0.04%
2020년 7월 29일,43.29,43.29,43.29,43.29,-,0.03%
2020년 7월 28일,43.28,43.28,43.28,43.28,-,-0.12%
2020년 7월 27일,43.33,43.33,43.33,43.33,-,0.11%
2020년 7월 24일,43.28,43.28,43.28,43.28,-,-0.04%
2020년 7월 23일,43.3,43.3,43.3,43.3,-,-0.72%
2020년 7월 22일,43.62,43.62,43.62,43.62,-,0.08%
2020년 7월 21일,43.58,43.58,43.58,43.58,-,1.22%
2020년 7월 20일,43.05,43.05,43.05,43.05,-,0.13%
2020년 7월 17일,43,43,43,43,-,-0.70%
2020년 7월 16일,43.3,43.3,43.3,43.3,-,-1.10%
2020년 7월 15일,43.78,43.78,43.78,43.78,-,1.31%
2020년 7월 14일,43.22,43.22,43.22,43.22,-,0.28%
2020년 7월 13일,43.1,43.1,43.1,43.1,-,-0.70%
2020년 7월 10일,43.4,43.4,43.4,43.4,-,1.43%
2020년 7월 9일,42.79,42.79,42.79,42.79,-,-1.16%
2020년 7월 8일,43.29,43.29,43.29,43.29,-,0.47%
2020년 7월 7일,43.09,43.09,43.09,43.09,-,0.46%
2020년 7월 6일,42.89,42.89,42.89,42.89,-,-0.72%
2020년 7월 2일,43.2,43.2,43.2,43.2,-,2.23%
2020년 7월 1일,42.26,42.26,42.26,42.26,-,3.60%
2020년 6월 30일,40.79,40.79,40.79,40.79,-,-0.01%
2020년 6월 29일,40.8,40.8,40.8,40.8,-,-0.02%
2020년 6월 26일,40.81,40.81,40.81,40.81,-,0.05%
2020년 6월 25일,40.78,40.78,40.78,40.78,-,0.35%
2020년 6월 24일,40.64,40.64,40.64,40.64,-,-0.97%
2020년 6월 23일,41.04,41.04,41.04,41.04,-,-0.20%
2020년 6월 22일,41.12,41.12,41.12,41.12,-,0.12%
2020년 6월 19일,41.07,41.07,41.07,41.07,-,1.09%
2020년 6월 18일,40.63,40.63,40.63,40.63,-,1.00%
2020년 6월 17일,40.23,40.23,40.23,40.23,-,-0.14%
2020년 6월 16일,40.28,40.28,40.28,40.28,-,1.08%
2020년 6월 15일,39.85,39.85,39.85,39.85,-,0.89%
2020년 6월 12일,39.5,39.5,39.5,39.5,-,0.15%
2020년 6월 11일,39.44,39.44,39.44,39.44,-,-5.01%
2020년 6월 10일,41.52,41.52,41.52,41.52,-,1.72%
2020년 6월 9일,40.82,40.82,40.82,40.82,-,0.31%
2020년 6월 8일,40.69,40.69,40.69,40.69,-,-1.51%
2020년 6월 5일,41.32,41.32,41.32,41.32,-,5.53%
2020년 6월 4일,39.15,39.15,39.15,39.15,-,-0.27%
2020년 6월 3일,39.26,39.26,39.26,39.26,-,0.21%
2020년 6월 2일,39.17,39.17,39.17,39.17,-,2.23%
2020년 6월 1일,38.32,38.32,38.32,38.32,-,25.77%
2020년 5월 29일,30.47,30.47,30.47,30.47,-,-0.15%
2020년 5월 28일,30.51,30.51,30.51,30.51,-,0.28%
2020년 5월 27일,30.43,30.43,30.43,30.43,-,-0.53%
2020년 5월 26일,30.59,30.59,30.59,30.59,-,0.82%
2020년 5월 22일,30.34,30.34,30.34,30.34,-,-0.92%
2020년 5월 21일,30.62,30.62,30.62,30.62,-,0.18%
2020년 5월 20일,30.57,30.57,30.57,30.57,-,0.49%
2020년 5월 19일,30.42,30.42,30.42,30.42,-,-0.42%
2020년 5월 18일,30.55,30.55,30.55,30.55,-,2.51%
2020년 5월 15일,29.8,29.8,29.8,29.8,-,2.05%
2020년 5월 14일,29.2,29.2,29.2,29.2,-,9.45%
2020년 5월 13일,26.68,26.68,26.68,26.68,-,-0.48%
2020년 5월 12일,26.81,26.81,26.81,26.81,-,-1.69%
2020년 5월 11일,27.27,27.27,27.27,27.27,-,-4.45%
2020년 5월 8일,28.54,28.54,28.54,28.54,-,5.16%
2020년 5월 7일,27.14,27.14,27.14,27.14,-,-0.77%
2020년 5월 6일,27.35,27.35,27.35,27.35,-,-5.49%
2020년 5월 5일,28.94,28.94,28.94,28.94,-,10.46%
2020년 5월 4일,26.2,26.2,26.2,26.2,-,3.56%
2020년 5월 1일,25.3,25.3,25.3,25.3,-,24.08%
2020년 4월 30일,20.39,20.39,20.39,20.39,-,0.05%
2020년 4월 29일,20.38,20.38,20.38,20.38,-,-0.15%
2020년 4월 28일,20.41,20.41,20.41,20.41,-,0.20%
2020년 4월 27일,20.37,20.37,20.37,20.37,-,-0.39%
2020년 4월 24일,20.45,20.45,20.45,20.45,-,0.00%
2020년 4월 23일,20.45,20.45,20.45,20.45,-,2.25%
2020년 4월 22일,20,20,20,20,-,4.88%
2020년 4월 21일,19.07,19.07,19.07,19.07,-,-11.18%
2020년 4월 20일,21.47,21.47,21.47,21.47,-,-3.42%
2020년 4월 17일,22.23,22.23,22.23,22.23,-,2.40%
2020년 4월 16일,21.71,21.71,21.71,21.71,-,1.16%
2020년 4월 15일,21.46,21.46,21.46,21.46,-,-2.28%
2020년 4월 14일,21.96,21.96,21.96,21.96,-,-11.24%
2020년 4월 13일,24.74,24.74,24.74,24.74,-,6.36%
2020년 4월 9일,23.26,23.26,23.26,23.26,-,-11.09%
2020년 4월 8일,26.16,26.16,26.16,26.16,-,0.62%
2020년 4월 7일,26,26,26,26,-,-5.28%
2020년 4월 6일,27.45,27.45,27.45,27.45,-,-6.60%
2020년 4월 3일,29.39,29.39,29.39,29.39,-,12.35%
2020년 4월 2일,26.16,26.16,26.16,26.16,-,16.47%
2020년 4월 1일,22.46,22.46,22.46,22.46,-,-33.35%
2020년 3월 31일,33.7,33.7,33.7,33.7,-,-0.41%
2020년 3월 30일,33.84,33.84,33.84,33.84,-,-0.21%
2020년 3월 27일,33.91,33.91,33.91,33.91,-,-0.47%
2020년 3월 26일,34.07,34.07,34.07,34.07,-,-0.23%
2020년 3월 25일,34.15,34.15,34.15,34.15,-,0.47%
2020년 3월 24일,33.99,33.99,33.99,33.99,-,0.09%
2020년 3월 23일,33.96,33.96,33.96,33.96,-,-0.26%
2020년 3월 20일,34.05,34.05,34.05,34.05,-,-1.56%
2020년 3월 19일,34.59,34.59,34.59,34.59,-,2.92%
2020년 3월 18일,33.61,33.61,33.61,33.61,-,-4.71%
2020년 3월 17일,35.27,35.27,35.27,35.27,-,-0.51%
2020년 3월 16일,35.45,35.45,35.45,35.45,-,-4.09%
2020년 3월 13일,36.96,36.96,36.96,36.96,-,1.79%
2020년 3월 12일,36.31,36.31,36.31,36.31,-,-3.48%
2020년 3월 11일,37.62,37.62,37.62,37.62,-,-1.36%
2020년 3월 10일,38.14,38.14,38.14,38.14,-,5.18%
2020년 3월 9일,36.26,36.26,36.26,36.26,-,-20.67%
2020년 3월 6일,45.71,45.71,45.71,45.71,-,-8.07%
2020년 3월 5일,49.72,49.72,49.72,49.72,-,-1.51%
2020년 3월 4일,50.48,50.48,50.48,50.48,-,-0.88%
2020년 3월 3일,50.93,50.93,50.93,50.93,-,-0.04%
2020년 3월 2일,50.95,50.95,50.95,50.95,-,-6.03%
2020년 2월 28일,54.22,54.22,54.22,54.22,-,-0.06%
2020년 2월 27일,54.25,54.25,54.25,54.25,-,-0.15%
2020년 2월 26일,54.33,54.33,54.33,54.33,-,-0.39%
2020년 2월 25일,54.54,54.54,54.54,54.54,-,-0.26%
2020년 2월 24일,54.68,54.68,54.68,54.68,-,-1.07%
2020년 2월 21일,55.27,55.27,55.27,55.27,-,-0.49%
2020년 2월 20일,55.54,55.54,55.54,55.54,-,-0.20%
2020년 2월 19일,55.65,55.65,55.65,55.65,-,0.91%
2020년 2월 18일,55.15,55.15,55.15,55.15,-,-0.34%
2020년 2월 14일,55.34,55.34,55.34,55.34,-,0.69%
2020년 2월 13일,54.96,54.96,54.96,54.96,-,0.68%
2020년 2월 12일,54.59,54.59,54.59,54.59,-,2.06%
2020년 2월 11일,53.49,53.49,53.49,53.49,-,0.92%
2020년 2월 10일,53,53,53,53,-,-2.00%
2020년 2월 7일,54.08,54.08,54.08,54.08,-,-0.52%
2020년 2월 6일,54.36,54.36,54.36,54.36,-,-0.31%
2020년 2월 5일,54.53,54.53,54.53,54.53,-,2.67%
2020년 2월 4일,53.11,53.11,53.11,53.11,-,-0.73%
2020년 2월 3일,53.5,53.5,53.5,53.5,-,-16.78%
2020년 1월 31일,64.29,64.29,64.29,64.29,-,0.19%
2020년 1월 30일,64.17,64.17,64.17,64.17,-,-0.31%
2020년 1월 29일,64.37,64.37,64.37,64.37,-,0.05%
2020년 1월 28일,64.34,64.34,64.34,64.34,-,-0.05%
2020년 1월 27일,64.37,64.37,64.37,64.37,-,-0.42%
2020년 1월 24일,64.64,64.64,64.64,64.64,-,-0.46%
2020년 1월 23일,64.94,64.94,64.94,64.94,-,-0.49%
2020년 1월 22일,65.26,65.26,65.26,65.26,-,-0.50%
2020년 1월 21일,65.59,65.59,65.59,65.59,-,-0.24%
2020년 1월 17일,65.75,65.75,65.75,65.75,-,0.02%
2020년 1월 16일,65.74,65.74,65.74,65.74,-,0.38%
2020년 1월 15일,65.49,65.49,65.49,65.49,-,-0.53%
2020년 1월 14일,65.84,65.84,65.84,65.84,-,0.18%
2020년 1월 13일,65.72,65.72,65.72,65.72,-,-0.53%
2020년 1월 10일,66.07,66.07,66.07,66.07,-,-0.12%
2020년 1월 9일,66.15,66.15,66.15,66.15,-,0.23%
2020년 1월 8일,66,66,66,66,-,-2.83%
2020년 1월 7일,67.92,67.92,67.92,67.92,-,-0.53%
2020년 1월 6일,68.28,68.28,68.28,68.28,-,0.66%
2020년 1월 3일,67.83,67.83,67.83,67.83,-,3.65%
2020년 1월 2일,65.44,65.44,65.44,65.44,-,0.85%
2019년 12월 31일,64.89,64.89,64.89,64.89,-,0.06%
2019년 12월 30일,64.85,64.85,64.85,64.85,-,0.05%
2019년 12월 27일,64.82,64.82,64.82,64.82,-,-0.02%
2019년 12월 26일,64.83,64.83,64.83,64.83,-,0.06%
2019년 12월 24일,64.79,64.79,64.79,64.79,-,0.22%
2019년 12월 23일,64.65,64.65,64.65,64.65,-,0.03%
2019년 12월 20일,64.63,64.63,64.63,64.63,-,-0.11%
2019년 12월 19일,64.7,64.7,64.7,64.7,-,0.25%
2019년 12월 18일,64.54,64.54,64.54,64.54,-,0.02%
2019년 12월 17일,64.53,64.53,64.53,64.53,-,0.53%
2019년 12월 16일,64.19,64.19,64.19,64.19,-,0.11%
2019년 12월 13일,64.12,64.12,64.12,64.12,-,1.04%
2019년 12월 12일,63.46,63.46,63.46,63.46,-,0.76%
2019년 12월 11일,62.98,62.98,62.98,62.98,-,-0.82%
2019년 12월 10일,63.5,63.5,63.5,63.5,-,0.25%
2019년 12월 9일,63.34,63.34,63.34,63.34,-,-0.14%
2019년 12월 6일,63.43,63.43,63.43,63.43,-,0.97%
2019년 12월 5일,62.82,62.82,62.82,62.82,-,0.48%
2019년 12월 4일,62.52,62.52,62.52,62.52,-,3.41%
2019년 12월 3일,60.46,60.46,60.46,60.46,-,0.08%
2019년 12월 2일,60.41,60.41,60.41,60.41,-,-2.52%
2019년 11월 29일,61.97,61.97,61.97,61.97,-,0.03%
2019년 11월 27일,61.95,61.95,61.95,61.95,-,0.00%
2019년 11월 26일,61.95,61.95,61.95,61.95,-,0.02%
2019년 11월 25일,61.94,61.94,61.94,61.94,-,0.06%
2019년 11월 22일,61.9,61.9,61.9,61.9,-,-0.27%
2019년 11월 21일,62.07,62.07,62.07,62.07,-,0.76%
2019년 11월 20일,61.6,61.6,61.6,61.6,-,1.02%
2019년 11월 19일,60.98,60.98,60.98,60.98,-,-0.94%
2019년 11월 18일,61.56,61.56,61.56,61.56,-,-0.61%
2019년 11월 15일,61.94,61.94,61.94,61.94,-,0.81%
2019년 11월 14일,61.44,61.44,61.44,61.44,-,-0.13%
2019년 11월 13일,61.52,61.52,61.52,61.52,-,0.38%
2019년 11월 12일,61.29,61.29,61.29,61.29,-,0.33%
2019년 11월 11일,61.09,61.09,61.09,61.09,-,-0.31%
2019년 11월 8일,61.28,61.28,61.28,61.28,-,0.29%
2019년 11월 7일,61.1,61.1,61.1,61.1,-,0.89%
2019년 11월 6일,60.56,60.56,60.56,60.56,-,-1.51%
2019년 11월 5일,61.49,61.49,61.49,61.49,-,0.99%
2019년 11월 4일,60.89,60.89,60.89,60.89,-,0.58%
2019년 11월 1일,60.54,60.54,60.54,60.54,-,1.97%
2019년 10월 31일,59.37,59.37,59.37,59.37,-,0.08%
2019년 10월 30일,59.32,59.32,59.32,59.32,-,-0.15%
2019년 10월 29일,59.41,59.41,59.41,59.41,-,-0.07%
2019년 10월 28일,59.45,59.45,59.45,59.45,-,-0.12%
2019년 10월 25일,59.52,59.52,59.52,59.52,-,0.12%
2019년 10월 24일,59.45,59.45,59.45,59.45,-,0.13%
2019년 10월 23일,59.37,59.37,59.37,59.37,-,0.58%
2019년 10월 22일,59.03,59.03,59.03,59.03,-,0.27%
2019년 10월 21일,58.87,58.87,58.87,58.87,-,-0.15%
2019년 10월 18일,58.96,58.96,58.96,58.96,-,-0.35%
2019년 10월 17일,59.17,59.17,59.17,59.17,-,0.29%
2019년 10월 16일,59,59,59,59,-,0.24%
2019년 10월 15일,58.86,58.86,58.86,58.86,-,-0.14%
2019년 10월 14일,58.94,58.94,58.94,58.94,-,-1.31%
2019년 10월 11일,59.72,59.72,59.72,59.72,-,1.81%
2019년 10월 10일,58.66,58.66,58.66,58.66,-,1.24%
2019년 10월 9일,57.94,57.94,57.94,57.94,-,0.05%
2019년 10월 8일,57.91,57.91,57.91,57.91,-,-0.53%
2019년 10월 7일,58.22,58.22,58.22,58.22,-,0.19%
2019년 10월 4일,58.11,58.11,58.11,58.11,-,1.15%
2019년 10월 3일,57.45,57.45,57.45,57.45,-,0.23%
2019년 10월 2일,57.32,57.32,57.32,57.32,-,-1.36%
2019년 10월 1일,58.11,58.11,58.11,58.11,-,-4.92%
2019년 9월 30일,61.12,61.12,61.12,61.12,-,0.05%
2019년 9월 27일,61.09,61.09,61.09,61.09,-,-0.11%
2019년 9월 26일,61.16,61.16,61.16,61.16,-,0.11%
2019년 9월 25일,61.09,61.09,61.09,61.09,-,-0.24%
2019년 9월 24일,61.24,61.24,61.24,61.24,-,-0.65%
2019년 9월 23일,61.64,61.64,61.64,61.64,-,0.21%
2019년 9월 20일,61.51,61.51,61.51,61.51,-,0.16%
2019년 9월 19일,61.41,61.41,61.41,61.41,-,0.46%
2019년 9월 18일,61.13,61.13,61.13,61.13,-,-0.31%
2019년 9월 17일,61.32,61.32,61.32,61.32,-,-2.85%
2019년 9월 16일,63.12,63.12,63.12,63.12,-,7.75%
2019년 9월 13일,58.58,58.58,58.58,58.58,-,-0.10%
2019년 9월 12일,58.64,58.64,58.64,58.64,-,-0.15%
2019년 9월 11일,58.73,58.73,58.73,58.73,-,-1.71%
2019년 9월 10일,59.75,59.75,59.75,59.75,-,-0.52%
2019년 9월 9일,60.06,60.06,60.06,60.06,-,1.28%
2019년 9월 6일,59.3,59.3,59.3,59.3,-,1.13%
2019년 9월 5일,58.64,58.64,58.64,58.64,-,0.07%
2019년 9월 4일,58.6,58.6,58.6,58.6,-,3.37%
2019년 9월 3일,56.69,56.69,56.69,56.69,-,-4.09%
2019년 8월 30일,59.11,59.11,59.11,59.11,-,0.03%
2019년 8월 29일,59.09,59.09,59.09,59.09,-,-0.03%
2019년 8월 28일,59.11,59.11,59.11,59.11,-,0.22%
2019년 8월 27일,58.98,58.98,58.98,58.98,-,0.19%
2019년 8월 26일,58.87,58.87,58.87,58.87,-,-0.32%
2019년 8월 23일,59.06,59.06,59.06,59.06,-,-0.35%
2019년 8월 22일,59.27,59.27,59.27,59.27,-,-0.05%
2019년 8월 21일,59.3,59.3,59.3,59.3,-,0.30%
2019년 8월 20일,59.12,59.12,59.12,59.12,-,0.32%
2019년 8월 19일,58.93,58.93,58.93,58.93,-,0.99%
2019년 8월 16일,58.35,58.35,58.35,58.35,-,0.45%
2019년 8월 15일,58.09,58.09,58.09,58.09,-,-1.06%
2019년 8월 14일,58.71,58.71,58.71,58.71,-,-2.20%
2019년 8월 13일,60.03,60.03,60.03,60.03,-,2.88%
2019년 8월 12일,58.35,58.35,58.35,58.35,-,0.07%
2019년 8월 9일,58.31,58.31,58.31,58.31,-,1.46%
2019년 8월 8일,57.47,57.47,57.47,57.47,-,1.90%
2019년 8월 7일,56.4,56.4,56.4,56.4,-,-3.21%
2019년 8월 6일,58.27,58.27,58.27,58.27,-,-1.00%
2019년 8월 5일,58.86,58.86,58.86,58.86,-,-2.81%
2019년 8월 2일,60.56,60.56,60.56,60.56,-,1.95%
2019년 8월 1일,59.4,59.4,59.4,59.4,-,-6.09%
2019년 7월 31일,63.25,63.25,63.25,63.25,-,0.03%
2019년 7월 30일,63.23,63.23,63.23,63.23,-,0.11%
2019년 7월 29일,63.16,63.16,63.16,63.16,-,-0.02%
2019년 7월 26일,63.17,63.17,63.17,63.17,-,0.05%
2019년 7월 25일,63.14,63.14,63.14,63.14,-,0.19%
2019년 7월 24일,63.02,63.02,63.02,63.02,-,-0.08%
2019년 7월 23일,63.07,63.07,63.07,63.07,-,0.19%
2019년 7월 22일,62.95,62.95,62.95,62.95,-,0.58%
2019년 7월 19일,62.59,62.59,62.59,62.59,-,0.45%
2019년 7월 18일,62.31,62.31,62.31,62.31,-,-0.86%
2019년 7월 17일,62.85,62.85,62.85,62.85,-,-0.54%
2019년 7월 16일,63.19,63.19,63.19,63.19,-,-1.74%
2019년 7월 15일,64.31,64.31,64.31,64.31,-,-0.20%
2019년 7월 12일,64.44,64.44,64.44,64.44,-,0.31%
2019년 7월 11일,64.24,64.24,64.24,64.24,-,-0.59%
2019년 7월 10일,64.62,64.62,64.62,64.62,-,2.95%
2019년 7월 9일,62.77,62.77,62.77,62.77,-,0.26%
2019년 7월 8일,62.61,62.61,62.61,62.61,-,0.13%
2019년 7월 5일,62.53,62.53,62.53,62.53,-,0.45%
2019년 7월 3일,62.25,62.25,62.25,62.25,-,2.02%
2019년 7월 2일,61.02,61.02,61.02,61.02,-,-3.43%
2019년 7월 1일,63.19,63.19,63.19,63.19,-,2.37%
2019년 6월 27일,61.73,61.73,61.73,61.73,-,-0.06%
2019년 6월 26일,61.77,61.77,61.77,61.77,-,0.23%
2019년 6월 25일,61.63,61.63,61.63,61.63,-,-0.02%
2019년 6월 24일,61.64,61.64,61.64,61.64,-,-0.28%
2019년 6월 21일,61.81,61.81,61.81,61.81,-,0.36%
2019년 6월 20일,61.59,61.59,61.59,61.59,-,1.55%
2019년 6월 19일,60.65,60.65,60.65,60.65,-,0.02%
2019년 6월 18일,60.64,60.64,60.64,60.64,-,1.17%
2019년 6월 17일,59.94,59.94,59.94,59.94,-,-1.04%
2019년 6월 14일,60.57,60.57,60.57,60.57,-,0.65%
2019년 6월 13일,60.18,60.18,60.18,60.18,-,1.36%
2019년 6월 12일,59.37,59.37,59.37,59.37,-,-2.58%
2019년 6월 11일,60.94,60.94,60.94,60.94,-,0.58%
2019년 6월 10일,60.59,60.59,60.59,60.59,-,-1.09%
2019년 6월 7일,61.26,61.26,61.26,61.26,-,2.36%
2019년 6월 6일,59.85,59.85,59.85,59.85,-,0.47%
2019년 6월 5일,59.57,59.57,59.57,59.57,-,-2.07%
2019년 6월 4일,60.83,60.83,60.83,60.83,-,0.71%
2019년 6월 3일,60.4,60.4,60.4,60.4,-,-12.94%
2019년 5월 31일,69.38,69.38,69.38,69.38,-,0.06%
2019년 5월 30일,69.34,69.34,69.34,69.34,-,-0.24%
2019년 5월 29일,69.51,69.51,69.51,69.51,-,-0.22%
2019년 5월 28일,69.66,69.66,69.66,69.66,-,0.33%
2019년 5월 24일,69.43,69.43,69.43,69.43,-,0.09%
2019년 5월 23일,69.37,69.37,69.37,69.37,-,-1.60%
2019년 5월 22일,70.5,70.5,70.5,70.5,-,-0.69%
2019년 5월 21일,70.99,70.99,70.99,70.99,-,0.11%
2019년 5월 20일,70.91,70.91,70.91,70.91,-,-0.14%
2019년 5월 17일,71.01,71.01,71.01,71.01,-,-0.20%
2019년 5월 16일,71.15,71.15,71.15,71.15,-,0.72%
2019년 5월 15일,70.64,70.64,70.64,70.64,-,0.34%
2019년 5월 14일,70.4,70.4,70.4,70.4,-,1.09%
2019년 5월 13일,69.64,69.64,69.64,69.64,-,-0.37%
2019년 5월 10일,69.9,69.9,69.9,69.9,-,0.30%
2019년 5월 9일,69.69,69.69,69.69,69.69,-,0.14%
2019년 5월 8일,69.59,69.59,69.59,69.59,-,0.26%
2019년 5월 7일,69.41,69.41,69.41,69.41,-,-1.63%
2019년 5월 6일,70.56,70.56,70.56,70.56,-,-0.11%
2019년 5월 3일,70.64,70.64,70.64,70.64,-,0.04%
2019년 5월 2일,70.61,70.61,70.61,70.61,-,-1.45%
2019년 5월 1일,71.65,71.65,71.65,71.65,-,0.99%
2019년 4월 30일,70.95,70.95,70.95,70.95,-,0.03%
2019년 4월 29일,70.93,70.93,70.93,70.93,-,-0.04%
2019년 4월 26일,70.96,70.96,70.96,70.96,-,-0.24%
2019년 4월 25일,71.13,71.13,71.13,71.13,-,-0.10%
2019년 4월 24일,71.2,71.2,71.2,71.2,-,0.14%
2019년 4월 23일,71.1,71.1,71.1,71.1,-,0.11%
2019년 4월 22일,71.02,71.02,71.02,71.02,-,0.92%
2019년 4월 18일,70.37,70.37,70.37,70.37,-,0.31%
2019년 4월 17일,70.15,70.15,70.15,70.15,-,-0.13%
2019년 4월 16일,70.24,70.24,70.24,70.24,-,0.59%
2019년 4월 15일,69.83,69.83,69.83,69.83,-,-0.21%
2019년 4월 12일,69.98,69.98,69.98,69.98,-,0.40%
2019년 4월 11일,69.7,69.7,69.7,69.7,-,-0.98%
2019년 4월 10일,70.39,70.39,70.39,70.39,-,1.05%
2019년 4월 9일,69.66,69.66,69.66,69.66,-,-0.61%
2019년 4월 8일,70.09,70.09,70.09,70.09,-,0.52%
2019년 4월 5일,69.73,69.73,69.73,69.73,-,1.09%
2019년 4월 4일,68.98,68.98,68.98,68.98,-,0.23%
2019년 4월 3일,68.82,68.82,68.82,68.82,-,-0.10%
2019년 4월 2일,68.89,68.89,68.89,68.89,-,0.63%
2019년 4월 1일,68.46,68.46,68.46,68.46,-,2.29%
2019년 3월 29일,66.93,66.93,66.93,66.93,-,0.06%
2019년 3월 28일,66.89,66.89,66.89,66.89,-,-0.04%
2019년 3월 27일,66.92,66.92,66.92,66.92,-,-0.07%
2019년 3월 26일,66.97,66.97,66.97,66.97,-,0.12%
2019년 3월 25일,66.89,66.89,66.89,66.89,-,-0.01%
2019년 3월 22일,66.9,66.9,66.9,66.9,-,-0.28%
2019년 3월 21일,67.09,67.09,67.09,67.09,-,-0.37%
2019년 3월 20일,67.34,67.34,67.34,67.34,-,0.43%
2019년 3월 19일,67.05,67.05,67.05,67.05,-,0.04%
2019년 3월 18일,67.02,67.02,67.02,67.02,-,0.22%
2019년 3월 15일,66.87,66.87,66.87,66.87,-,-0.10%
2019년 3월 14일,66.94,66.94,66.94,66.94,-,-0.36%
2019년 3월 13일,67.18,67.18,67.18,67.18,-,0.83%
2019년 3월 12일,66.63,66.63,66.63,66.63,-,0.06%
2019년 3월 11일,66.59,66.59,66.59,66.59,-,0.86%
2019년 3월 8일,66.02,66.02,66.02,66.02,-,-0.62%
2019년 3월 7일,66.43,66.43,66.43,66.43,-,0.45%
2019년 3월 6일,66.13,66.13,66.13,66.13,-,0.41%
2019년 3월 5일,65.86,65.86,65.86,65.86,-,0.38%
2019년 3월 4일,65.61,65.61,65.61,65.61,-,0.94%
2019년 3월 1일,65,65,65,65,-,0.65%
2019년 2월 28일,64.58,64.58,64.58,64.58,-,-0.03%
2019년 2월 27일,64.6,64.6,64.6,64.6,-,0.11%
2019년 2월 26일,64.53,64.53,64.53,64.53,-,0.05%
2019년 2월 25일,64.5,64.5,64.5,64.5,-,-0.65%
2019년 2월 22일,64.92,64.92,64.92,64.92,-,-0.02%
2019년 2월 21일,64.93,64.93,64.93,64.93,-,-0.03%
2019년 2월 20일,64.95,64.95,64.95,64.95,-,0.45%
2019년 2월 19일,64.66,64.66,64.66,64.66,-,-0.03%
2019년 2월 15일,64.68,64.68,64.68,64.68,-,0.97%
2019년 2월 14일,64.06,64.06,64.06,64.06,-,1.22%
2019년 2월 13일,63.29,63.29,63.29,63.29,-,1.25%
2019년 2월 12일,62.51,62.51,62.51,62.51,-,1.39%
2019년 2월 11일,61.65,61.65,61.65,61.65,-,-0.82%
2019년 2월 8일,62.16,62.16,62.16,62.16,-,0.60%
2019년 2월 7일,61.79,61.79,61.79,61.79,-,-1.47%
2019년 2월 6일,62.71,62.71,62.71,62.71,-,1.01%
2019년 2월 5일,62.08,62.08,62.08,62.08,-,-0.75%
2019년 2월 4일,62.55,62.55,62.55,62.55,-,-0.11%
2019년 2월 1일,62.62,62.62,62.62,62.62,-,5.99%
2019년 1월 31일,59.08,59.08,59.08,59.08,-,0.05%
2019년 1월 30일,59.05,59.05,59.05,59.05,-,0.00%
2019년 1월 29일,59.05,59.05,59.05,59.05,-,0.22%
2019년 1월 28일,58.92,58.92,58.92,58.92,-,-0.52%
2019년 1월 25일,59.23,59.23,59.23,59.23,-,0.12%
