date,price
2008년12월17일,1295.38
2008년12월18일,1289.05
2008년12월19일,1283.77
2008년12월20일,1280.75
2008년12월21일,1279.4
2008년12월22일,1276.63
2008년12월23일,1274.95
2008년12월24일,1273.36
2008년12월25일,1271.64
2008년12월26일,1270.23
2008년12월27일,1270
2008년12월28일,1269.49
2008년12월29일,1268.69
2008년12월30일,1268.45
2008년12월31일,1269.05
2009년01월01일,1275.89
2009년01월02일,1275.86
2009년01월03일,1276.27
2009년01월04일,1276.22
2009년01월05일,1275.7
2009년01월06일,1276.33
2009년01월07일,1277.18
2009년01월08일,1281.24
2009년01월09일,1283.18
2009년01월10일,1285.27
2009년01월11일,1286.02
2009년01월12일,1286.38
2009년01월13일,1287.37
2009년01월14일,1289.86
2009년01월15일,1298.12
2009년01월16일,1303.96
2009년01월17일,1309.16
2009년01월18일,1311.29
2009년01월19일,1313.66
2009년01월20일,1317.42
2009년01월21일,1321.99
2009년01월22일,1325.4
2009년01월23일,1330.12
2009년01월24일,1333.51
2009년01월25일,1335.08
2009년01월26일,1335.54
2009년01월27일,1335.73
2009년01월28일,1335.85
2009년01월29일,1333.16
2009년01월30일,1332.71
2009년01월31일,1332.55
2009년02월01일,1332.07
2009년02월02일,1331.64
2009년02월03일,1331.17
2009년02월04일,1331.02
2009년02월05일,1330.83
2009년02월06일,1330.71
2009년02월07일,1330.44
2009년02월08일,1330.28
2009년02월09일,1329.49
2009년02월10일,1328.94
2009년02월11일,1327.82
2009년02월12일,1324.67
2009년02월13일,1323.08
2009년02월14일,1321.72
2009년02월15일,1321.09
2009년02월16일,1319.87
2009년02월17일,1318.71
2009년02월18일,1317.64
2009년02월19일,1316.11
2009년02월20일,1314.36
2009년02월21일,1313.48
2009년02월22일,1312.91
2009년02월23일,1311.56
2009년02월24일,1310.26
2009년02월25일,1308.94
2009년02월26일,1306.75
2009년02월27일,1305.73
2009년02월28일,1305.34
2009년03월01일,1304.45
2009년03월02일,1303.36
2009년03월03일,1302.27
2009년03월04일,1301.93
2009년03월05일,1305.12
2009년03월06일,1306.92
2009년03월07일,1307.86
2009년03월08일,1308.16
2009년03월09일,1307.68
2009년03월10일,1307.53
2009년03월11일,1307.7
2009년03월12일,1307.14
2009년03월13일,1307.71
2009년03월14일,1307.57
2009년03월15일,1307.7
2009년03월16일,1306.74
2009년03월17일,1306.57
2009년03월18일,1305.93
2009년03월19일,1303.46
2009년03월20일,1300.93
2009년03월21일,1299.16
2009년03월22일,1297.29
2009년03월23일,1297.46
2009년03월24일,1297.01
2009년03월25일,1297.26
2009년03월26일,1302.68
2009년03월27일,1307.67
2009년03월28일,1310.76
2009년03월29일,1312.45
2009년03월30일,1313.24
2009년03월31일,1315.05
2009년04월01일,1319.65
2009년04월02일,1324.41
2009년04월03일,1329.84
2009년04월04일,1332.83
2009년04월05일,1334.02
2009년04월06일,1334.62
2009년04월07일,1335.67
2009년04월08일,1335.72
2009년04월09일,1333.78
2009년04월10일,1334.32
2009년04월11일,1334.51
2009년04월12일,1334.8
2009년04월13일,1334.39
2009년04월14일,1334.52
2009년04월15일,1334.64
2009년04월16일,1333.87
2009년04월17일,1334.4
